"transactionId","userId","ageGroup","gender","date","amount","merchant","source","paymentMethod","category","type","importBatchId","createdAt"
"DUMMY-2026-0040","presentation_demo_user","30s","unspecified","2026-02-10","1404","セブンイレブン サンプル店","PayPay","PayPay","食費","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0038","presentation_demo_user","30s","unspecified","2026-02-11","400","サンプルサービスH","JCB","JCB","その他","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0045","presentation_demo_user","30s","unspecified","2026-02-11","864","マツモトキヨシ サンプル店","PayPay","PayPay","日用品","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0060","presentation_demo_user","30s","unspecified","2026-02-11","88","サンプル住宅ローン","VISA","VISA","住居費","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0033","presentation_demo_user","30s","unspecified","2026-02-12","400","サンプルサービスC","VISA","VISA","その他","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0044","presentation_demo_user","30s","unspecified","2026-02-13","1456","楽天市場 サンプル購入","VISA","VISA","ネットでの購入","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0047","presentation_demo_user","30s","unspecified","2026-02-14","520","ユニクロ サンプル店","JCB","JCB","衣服費","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0041","presentation_demo_user","30s","unspecified","2026-02-15","1404","スターバックス サンプル店","JCB","JCB","食費","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0046","presentation_demo_user","30s","unspecified","2026-02-16","864","ニトリ サンプル店","JCB","JCB","日用品","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0034","presentation_demo_user","30s","unspecified","2026-02-17","400","サンプルサービスD","PayPay","PayPay","その他","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0049","presentation_demo_user","30s","unspecified","2026-02-17","160","TOHOシネマズ サンプル","JCB","JCB","娯楽","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0048","presentation_demo_user","30s","unspecified","2026-02-19","520","ABC-MART サンプル店","VISA","VISA","衣服費","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0042","presentation_demo_user","30s","unspecified","2026-02-20","1404","サイゼリヤ サンプル店","VISA","VISA","食費","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0051","presentation_demo_user","30s","unspecified","2026-02-20","160","さくら歯科 サンプル","PayPay","PayPay","医療費","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0035","presentation_demo_user","30s","unspecified","2026-02-22","400","サンプルサービスE","JCB","JCB","その他","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0050","presentation_demo_user","30s","unspecified","2026-02-22","160","Netflix サンプル","VISA","VISA","娯楽","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0053","presentation_demo_user","30s","unspecified","2026-02-23","72","JR東日本 サンプル","PayPay","PayPay","交通費","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0052","presentation_demo_user","30s","unspecified","2026-02-25","160","みどりクリニック サンプル","JCB","JCB","医療費","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0055","presentation_demo_user","30s","unspecified","2026-02-26","144","東京電力 サンプル","JCB","JCB","光熱費","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0036","presentation_demo_user","30s","unspecified","2026-02-27","400","サンプルサービスF","VISA","VISA","その他","expense","DUMMY-BATCH-202602","2026-09-02T12:00:00Z"
"DUMMY-2026-0061","presentation_demo_user","30s","unspecified","2026-03-02","400","サンプルサービスA","PayPay","PayPay","その他","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0084","presentation_demo_user","30s","unspecified","2026-03-02","72","ENEOS サンプル店","VISA","VISA","交通費","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0087","presentation_demo_user","30s","unspecified","2026-03-03","128","docomo サンプル","JCB","JCB","通信費","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0069","presentation_demo_user","30s","unspecified","2026-03-05","1404","イオン サンプル店","PayPay","PayPay","食費","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0086","presentation_demo_user","30s","unspecified","2026-03-05","144","東京ガス サンプル","VISA","VISA","光熱費","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0067","presentation_demo_user","30s","unspecified","2026-03-06","400","サンプルサービスG","PayPay","PayPay","その他","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0089","presentation_demo_user","30s","unspecified","2026-03-06","88","サンプル家賃","JCB","JCB","住居費","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0062","presentation_demo_user","30s","unspecified","2026-03-07","400","サンプルサービスB","JCB","JCB","その他","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0073","presentation_demo_user","30s","unspecified","2026-03-08","1456","Amazon サンプル購入","JCB","JCB","ネットでの購入","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0088","presentation_demo_user","30s","unspecified","2026-03-08","128","NTT サンプル","VISA","VISA","通信費","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0070","presentation_demo_user","30s","unspecified","2026-03-10","1404","セブンイレブン サンプル店","PayPay","PayPay","食費","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0068","presentation_demo_user","30s","unspecified","2026-03-11","400","サンプルサービスH","JCB","JCB","その他","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0075","presentation_demo_user","30s","unspecified","2026-03-11","864","マツモトキヨシ サンプル店","PayPay","PayPay","日用品","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0090","presentation_demo_user","30s","unspecified","2026-03-11","88","サンプル住宅ローン","VISA","VISA","住居費","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0063","presentation_demo_user","30s","unspecified","2026-03-12","400","サンプルサービスC","VISA","VISA","その他","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0074","presentation_demo_user","30s","unspecified","2026-03-13","1456","楽天市場 サンプル購入","VISA","VISA","ネットでの購入","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0077","presentation_demo_user","30s","unspecified","2026-03-14","520","ユニクロ サンプル店","JCB","JCB","衣服費","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0071","presentation_demo_user","30s","unspecified","2026-03-15","1404","スターバックス サンプル店","JCB","JCB","食費","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0076","presentation_demo_user","30s","unspecified","2026-03-16","864","ニトリ サンプル店","JCB","JCB","日用品","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0064","presentation_demo_user","30s","unspecified","2026-03-17","400","サンプルサービスD","PayPay","PayPay","その他","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0079","presentation_demo_user","30s","unspecified","2026-03-17","160","TOHOシネマズ サンプル","JCB","JCB","娯楽","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0078","presentation_demo_user","30s","unspecified","2026-03-19","520","ABC-MART サンプル店","VISA","VISA","衣服費","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0072","presentation_demo_user","30s","unspecified","2026-03-20","1404","サイゼリヤ サンプル店","VISA","VISA","食費","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0081","presentation_demo_user","30s","unspecified","2026-03-20","160","さくら歯科 サンプル","PayPay","PayPay","医療費","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0065","presentation_demo_user","30s","unspecified","2026-03-22","400","サンプルサービスE","JCB","JCB","その他","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0080","presentation_demo_user","30s","unspecified","2026-03-22","160","Netflix サンプル","VISA","VISA","娯楽","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0083","presentation_demo_user","30s","unspecified","2026-03-23","72","JR東日本 サンプル","PayPay","PayPay","交通費","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0082","presentation_demo_user","30s","unspecified","2026-03-25","160","みどりクリニック サンプル","JCB","JCB","医療費","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0085","presentation_demo_user","30s","unspecified","2026-03-26","144","東京電力 サンプル","JCB","JCB","光熱費","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0066","presentation_demo_user","30s","unspecified","2026-03-27","400","サンプルサービスF","VISA","VISA","その他","expense","DUMMY-BATCH-202603","2026-09-02T12:00:00Z"
"DUMMY-2026-0091","presentation_demo_user","30s","unspecified","2026-04-02","425","サンプルサービスA","PayPay","PayPay","その他","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0114","presentation_demo_user","30s","unspecified","2026-04-02","76","ENEOS サンプル店","VISA","VISA","交通費","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0117","presentation_demo_user","30s","unspecified","2026-04-03","136","docomo サンプル","JCB","JCB","通信費","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0099","presentation_demo_user","30s","unspecified","2026-04-05","1492","イオン サンプル店","PayPay","PayPay","食費","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0116","presentation_demo_user","30s","unspecified","2026-04-05","153","東京ガス サンプル","VISA","VISA","光熱費","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0097","presentation_demo_user","30s","unspecified","2026-04-06","425","サンプルサービスG","PayPay","PayPay","その他","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0119","presentation_demo_user","30s","unspecified","2026-04-06","94","サンプル家賃","JCB","JCB","住居費","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0092","presentation_demo_user","30s","unspecified","2026-04-07","425","サンプルサービスB","JCB","JCB","その他","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0103","presentation_demo_user","30s","unspecified","2026-04-08","1547","Amazon サンプル購入","JCB","JCB","ネットでの購入","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0118","presentation_demo_user","30s","unspecified","2026-04-08","136","NTT サンプル","VISA","VISA","通信費","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0100","presentation_demo_user","30s","unspecified","2026-04-10","1492","セブンイレブン サンプル店","PayPay","PayPay","食費","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0098","presentation_demo_user","30s","unspecified","2026-04-11","425","サンプルサービスH","JCB","JCB","その他","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0105","presentation_demo_user","30s","unspecified","2026-04-11","918","マツモトキヨシ サンプル店","PayPay","PayPay","日用品","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0120","presentation_demo_user","30s","unspecified","2026-04-11","93","サンプル住宅ローン","VISA","VISA","住居費","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0093","presentation_demo_user","30s","unspecified","2026-04-12","425","サンプルサービスC","VISA","VISA","その他","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0104","presentation_demo_user","30s","unspecified","2026-04-13","1547","楽天市場 サンプル購入","VISA","VISA","ネットでの購入","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0107","presentation_demo_user","30s","unspecified","2026-04-14","553","ユニクロ サンプル店","JCB","JCB","衣服費","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0101","presentation_demo_user","30s","unspecified","2026-04-15","1492","スターバックス サンプル店","JCB","JCB","食費","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0106","presentation_demo_user","30s","unspecified","2026-04-16","918","ニトリ サンプル店","JCB","JCB","日用品","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0094","presentation_demo_user","30s","unspecified","2026-04-17","425","サンプルサービスD","PayPay","PayPay","その他","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0109","presentation_demo_user","30s","unspecified","2026-04-17","170","TOHOシネマズ サンプル","JCB","JCB","娯楽","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0108","presentation_demo_user","30s","unspecified","2026-04-19","552","ABC-MART サンプル店","VISA","VISA","衣服費","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0102","presentation_demo_user","30s","unspecified","2026-04-20","1491","サイゼリヤ サンプル店","VISA","VISA","食費","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0111","presentation_demo_user","30s","unspecified","2026-04-20","170","さくら歯科 サンプル","PayPay","PayPay","医療費","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0095","presentation_demo_user","30s","unspecified","2026-04-22","425","サンプルサービスE","JCB","JCB","その他","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0110","presentation_demo_user","30s","unspecified","2026-04-22","170","Netflix サンプル","VISA","VISA","娯楽","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0113","presentation_demo_user","30s","unspecified","2026-04-23","77","JR東日本 サンプル","PayPay","PayPay","交通費","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0112","presentation_demo_user","30s","unspecified","2026-04-25","170","みどりクリニック サンプル","JCB","JCB","医療費","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0115","presentation_demo_user","30s","unspecified","2026-04-26","153","東京電力 サンプル","JCB","JCB","光熱費","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0096","presentation_demo_user","30s","unspecified","2026-04-27","425","サンプルサービスF","VISA","VISA","その他","expense","DUMMY-BATCH-202604","2026-09-02T12:00:00Z"
"DUMMY-2026-0121","presentation_demo_user","30s","unspecified","2026-05-02","425","サンプルサービスA","PayPay","PayPay","その他","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
"DUMMY-2026-0144","presentation_demo_user","30s","unspecified","2026-05-02","76","ENEOS サンプル店","VISA","VISA","交通費","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
"DUMMY-2026-0147","presentation_demo_user","30s","unspecified","2026-05-03","136","docomo サンプル","JCB","JCB","通信費","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
"DUMMY-2026-0129","presentation_demo_user","30s","unspecified","2026-05-05","1492","イオン サンプル店","PayPay","PayPay","食費","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
"DUMMY-2026-0146","presentation_demo_user","30s","unspecified","2026-05-05","153","東京ガス サンプル","VISA","VISA","光熱費","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
"DUMMY-2026-0127","presentation_demo_user","30s","unspecified","2026-05-06","425","サンプルサービスG","PayPay","PayPay","その他","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
"DUMMY-2026-0149","presentation_demo_user","30s","unspecified","2026-05-06","94","サンプル家賃","JCB","JCB","住居費","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
"DUMMY-2026-0122","presentation_demo_user","30s","unspecified","2026-05-07","425","サンプルサービスB","JCB","JCB","その他","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
"DUMMY-2026-0133","presentation_demo_user","30s","unspecified","2026-05-08","1547","Amazon サンプル購入","JCB","JCB","ネットでの購入","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
"DUMMY-2026-0148","presentation_demo_user","30s","unspecified","2026-05-08","136","NTT サンプル","VISA","VISA","通信費","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
"DUMMY-2026-0130","presentation_demo_user","30s","unspecified","2026-05-10","1492","セブンイレブン サンプル店","PayPay","PayPay","食費","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
"DUMMY-2026-0128","presentation_demo_user","30s","unspecified","2026-05-11","425","サンプルサービスH","JCB","JCB","その他","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
"DUMMY-2026-0135","presentation_demo_user","30s","unspecified","2026-05-11","918","マツモトキヨシ サンプル店","PayPay","PayPay","日用品","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
"DUMMY-2026-0150","presentation_demo_user","30s","unspecified","2026-05-11","93","サンプル住宅ローン","VISA","VISA","住居費","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
"DUMMY-2026-0123","presentation_demo_user","30s","unspecified","2026-05-12","425","サンプルサービスC","VISA","VISA","その他","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
"DUMMY-2026-0134","presentation_demo_user","30s","unspecified","2026-05-13","1547","楽天市場 サンプル購入","VISA","VISA","ネットでの購入","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
"DUMMY-2026-0137","presentation_demo_user","30s","unspecified","2026-05-14","553","ユニクロ サンプル店","JCB","JCB","衣服費","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
"DUMMY-2026-0131","presentation_demo_user","30s","unspecified","2026-05-15","1492","スターバックス サンプル店","JCB","JCB","食費","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
"DUMMY-2026-0136","presentation_demo_user","30s","unspecified","2026-05-16","918","ニトリ サンプル店","JCB","JCB","日用品","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
"DUMMY-2026-0124","presentation_demo_user","30s","unspecified","2026-05-17","425","サンプルサービスD","PayPay","PayPay","その他","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
"DUMMY-2026-0139","presentation_demo_user","30s","unspecified","2026-05-17","170","TOHOシネマズ サンプル","JCB","JCB","娯楽","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
"DUMMY-2026-0138","presentation_demo_user","30s","unspecified","2026-05-19","552","ABC-MART サンプル店","VISA","VISA","衣服費","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
"DUMMY-2026-0132","presentation_demo_user","30s","unspecified","2026-05-20","1491","サイゼリヤ サンプル店","VISA","VISA","食費","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
"DUMMY-2026-0141","presentation_demo_user","30s","unspecified","2026-05-20","170","さくら歯科 サンプル","PayPay","PayPay","医療費","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
"DUMMY-2026-0125","presentation_demo_user","30s","unspecified","2026-05-22","425","サンプルサービスE","JCB","JCB","その他","expense","DUMMY-BATCH-202605","2026-09-02T12:00:00Z"
